Material_Thermal_Conductivity,Surface_Area,Contact_Pressure,Heat_Source_Power,Cooling_Method,Time,Operating_Temperature,Assembly_Type,Thickness,Ambient_Temperature,Heat_Loss
129.7773,238.8773,4.2071,853.4077,Water,58.3752,96.3132,TypeC,2.8857,20.7787,47369213.826
199.4877,337.3367,4.7978,657.5736,Water,31.5626,97.9708,TypeA,5.098,16.725,33849602.6473
336.3052,228.9175,4.1954,607.0558,Passive,37.237,101.7754,TypeA,9.1759,33.7313,21258326.0536
351.2557,173.3968,0.507,662.1526,Passive,14.96,58.7895,TypeC,1.9403,22.5639,17011505.7426
52.4332,492.7899,3.3638,877.9899,Passive,29.5264,61.7459,TypeB,7.4824,26.5281,3590872.31
228.7616,234.2003,0.7301,628.2429,Fan,26.3198,75.0699,TypeA,7.1855,30.8401,8679828.3972
196.0939,452.3446,1.6592,622.8553,Passive,5.4189,105.2846,TypeC,1.8618,21.4863,21634497.5384
127.7377,153.4796,0.7679,991.6112,Air,7.2635,63.113,TypeC,9.3032,29.3233,517210.9014
91.9529,145.8971,3.2171,781.0572,Water,50.4109,52.7965,TypeA,6.1162,17.7084,3879848.0276
168.1653,64.0103,3.5897,498.0644,Passive,15.1494,146.7129,TypeC,4.2735,20.8259,4803732.9661
380.0184,343.2501,1.0152,736.6573,Passive,12.5025,42.418,TypeB,7.8088,17.8942,5121717.5749
163.121,215.8369,2.2273,450.3074,Fan,30.7898,128.2967,TypeC,3.3163,31.2246,31730948.3301
231.5767,438.9612,2.5531,305.9879,Fan,46.3561,126.6839,TypeB,7.2416,19.453,69777162.5591
296.0566,262.9445,2.1607,637.1667,Water,4.6548,72.6936,TypeB,1.3574,29.3481,11571137.0161
177.2704,485.687,1.0446,935.3639,Air,35.0317,54.9189,TypeA,8.5547,33.866,7422685.5096
390.1237,133.4865,2.3853,936.2256,Water,8.0334,56.0192,TypeC,5.0335,25.5554,2531938.0479
386.8566,440.8804,3.8803,407.7148,Passive,3.1512,116.7175,TypeB,6.7302,25.8006,7260447.9997
138.1238,399.4686,0.8195,574.9097,Air,4.1119,110.7087,TypeB,2.9911,24.2207,6560223.4339
224.037,396.9148,0.8608,290.4723,Air,50.2157,126.102,TypeC,7.0937,21.5178,65833936.3981
155.3074,430.1525,2.0965,996.068,Air,7.9604,143.1229,TypeB,7.9502,24.5131,7933996.6182
149.6942,392.4608,4.7378,983.0061,Air,3.6639,116.112,TypeC,5.2589,27.0562,3645122.8267
62.9104,331.7991,3.5086,684.558,Water,26.8361,57.1437,TypeA,6.5595,34.7198,1914950.1079
263.3475,109.0602,3.554,823.9727,Fan,50.7956,66.7787,TypeB,5.1069,33.7553,9433785.8938
225.9377,64.6368,2.1286,743.5901,Fan,16.4821,132.6413,TypeB,9.0468,32.2431,2671234.6091
68.0176,464.3815,3.1715,633.8424,Passive,25.881,63.0237,TypeC,5.4808,32.7826,4510564.4879
147.5263,327.4926,0.5456,148.0132,Fan,3.3554,47.9775,TypeC,8.5763,24.357,446482.4205
367.8931,408.4418,3.3624,509.2879,Fan,27.4956,117.3608,TypeC,8.2122,28.1489,44882629.8887
133.8467,266.6851,4.6098,707.3077,Fan,35.0792,84.2779,TypeC,4.6945,32.9013,13703519.3436
100.7132,102.7887,3.2566,709.7785,Fan,34.6835,141.2044,TypeB,3.0708,22.859,13837401.2749
221.3085,106.3336,4.4316,435.8104,Passive,20.6132,111.5281,TypeA,4.6547,34.2352,8054933.0631
394.9777,358.5044,3.7579,947.5228,Water,19.6165,49.9461,TypeA,8.436,23.3157,8768588.8729
134.7193,243.6377,1.0425,250.6213,Air,7.2908,144.2642,TypeA,3.0487,27.0217,9202797.6557
285.2474,140.2361,4.561,550.3235,Fan,22.6411,68.4413,TypeA,5.7199,29.1961,6214084.4828
316.5669,271.2175,0.799,721.7956,Water,6.8702,77.0934,TypeC,8.2549,34.0118,3078453.5107
133.1731,78.894,2.9029,727.4222,Fan,46.2292,84.2486,TypeB,4.1813,19.8923,7475781.5469
304.8757,311.8871,1.1396,683.7751,Fan,58.0102,45.6347,TypeB,6.7799,29.9226,12783080.731
178.7241,171.047,0.5527,347.7594,Air,58.2344,94.6167,TypeB,3.2107,25.4163,38369581.4913
271.307,408.9016,2.3992,240.5859,Air,52.0392,53.565,TypeC,1.9835,20.3711,96613206.7033
271.7354,189.6629,1.8277,672.3463,Air,36.4467,84.1067,TypeB,8.1495,30.5321,12348516.6366
237.5211,254.8491,2.687,639.3719,Fan,42.3511,78.5781,TypeC,1.8907,26.0444,71230396.2758
81.6014,55.2292,3.0974,261.4204,Fan,17.8271,125.0124,TypeB,3.4424,28.2195,2259067.6254
342.3559,82.6011,0.6968,734.6252,Fan,38.2155,128.3488,TypeA,8.696,21.458,13283850.83
162.273,226.6221,1.0535,509.6548,Air,27.8833,56.8754,TypeC,4.1182,24.6255,8029964.6662
115.2815,265.9725,3.0139,700.9845,Passive,29.439,80.3206,TypeB,9.7574,27.3471,4900540.3195
64.2713,320.0092,2.0443,853.6304,Water,45.7088,81.0688,TypeA,9.8176,23.0982,5551135.5224
256.8125,181.2482,3.7813,252.7556,Passive,17.6332,56.6551,TypeA,3.4145,18.9675,9059252.3858
287.1475,362.7418,3.4353,117.2304,Fan,19.7643,127.8299,TypeA,1.3688,34.2328,140768822.1978
55.8057,437.0551,4.3052,801.1923,Fan,55.5539,117.7951,TypeC,7.3456,25.2294,17074662.1606
229.2326,400.9329,3.6162,648.7277,Passive,4.3172,60.942,TypeC,5.0589,29.6784,2452071.5291
129.2735,67.8285,2.4347,729.6756,Fan,29.6524,80.3394,TypeB,1.9068,23.2209,7788489.176
275.8105,266.2281,3.5283,854.3395,Water,54.8552,51.6386,TypeA,7.3677,22.1026,16147386.3539
111.0283,97.2186,1.7392,822.5298,Fan,37.0114,109.1027,TypeB,1.2806,23.1433,26816274.5877
291.8282,158.9203,1.8784,964.8281,Water,33.238,53.3509,TypeB,8.8318,23.1839,5265315.6733
185.3574,493.9982,4.0504,582.3416,Passive,15.7349,148.4528,TypeA,2.2479,25.8836,78560392.9065
377.8555,114.123,2.5089,539.6461,Passive,21.2533,125.875,TypeB,2.1458,25.8694,42713029.8409
98.1323,274.4997,4.0927,461.6985,Fan,51.2709,82.9262,TypeC,2.5811,24.9431,31025686.0052
169.3732,328.1701,4.2009,238.3219,Water,33.9939,103.642,TypeB,9.6424,17.6957,16841731.3773
89.7157,366.1092,4.359,615.3465,Fan,31.3698,140.2476,TypeA,7.2385,24.9215,16416095.4747
373.6428,301.8419,4.6249,349.3113,Air,6.8752,100.9509,TypeC,8.2123,18.3821,7796014.6598
357.0688,54.3969,2.4394,929.1768,Air,1.9457,59.1948,TypeC,4.5787,17.5227,343957.775
140.2796,196.9076,1.9349,624.8717,Air,57.8574,81.6574,TypeB,4.0268,33.6529,19051878.4339
280.9944,282.9702,3.1199,633.5562,Air,23.2422,132.7459,TypeB,3.1104,27.099,62770576.2197
336.0278,89.5399,2.1703,419.4322,Fan,36.5896,110.8634,TypeC,5.3258,28.1898,17089583.2219
244.3203,207.7821,3.2048,146.7904,Air,5.7032,111.5797,TypeB,5.9665,23.0359,4296598.7472
235.3777,64.9414,3.6751,128.5694,Water,41.3037,135.3504,TypeA,6.686,33.1796,9647978.8112
134.6483,85.3603,3.5978,481.0016,Passive,56.0214,138.337,TypeB,3.3141,27.7586,21484015.5551
82.586,228.6155,2.1855,176.1088,Passive,34.9642,141.1772,TypeB,9.5379,30.3834,7668287.602
364.0255,109.7221,1.2509,646.1623,Air,8.4408,50.4334,TypeC,2.5278,22.3712,3742730.3093
365.1463,305.3934,2.4374,892.8757,Air,35.3216,99.8539,TypeB,9.6909,34.2002,26684680.8923
271.5855,360.2592,1.1417,894.6233,Air,46.2145,121.456,TypeB,1.1337,31.4092,359145190.8737
168.6604,410.264,4.5054,693.1409,Fan,24.9786,123.262,TypeB,5.3301,32.079,29568081.668
172.2234,140.0676,2.0564,290.1086,Passive,52.9104,106.7388,TypeA,4.0003,18.4439,28171757.9054
304.0845,125.3672,1.1951,876.6971,Air,39.2723,58.3466,TypeB,5.0421,20.4193,11261727.6059
363.9886,97.0555,0.6145,897.4841,Water,54.0557,127.7163,TypeA,6.136,20.7125,33301460.3556
360.4802,336.3936,3.4062,276.9882,Air,37.7868,119.2122,TypeA,4.9203,20.4182,92004324.5279
322.9564,367.9141,3.3661,763.6835,Passive,8.746,49.4749,TypeA,4.7336,32.1082,3812637.774
274.7111,64.2138,2.0327,357.8676,Air,19.2718,91.0191,TypeA,7.5945,15.6377,3374363.5527
79.449,471.2955,0.8227,822.3763,Passive,12.9059,59.1375,TypeC,7.1729,16.522,2871063.7519
106.57,73.3871,2.3433,997.5141,Air,54.6208,77.1225,TypeA,8.4994,20.4783,2846950.576
364.494,293.5834,1.9005,127.0234,Water,45.8636,41.9889,TypeB,3.2496,18.9975,34723662.9287
262.2502,369.0772,3.547,907.6293,Air,40.9075,84.0363,TypeA,6.4858,19.6372,39314452.313
53.219,441.9361,3.226,660.3675,Water,18.757,100.4865,TypeB,6.2668,30.9589,4894417.0283
85.515,371.3391,2.1407,976.0444,Water,11.8586,108.1541,TypeA,4.3276,26.2625,7125882.3062
282.2256,410.7776,1.4805,518.5086,Air,45.6306,112.9839,TypeC,5.3745,15.1154,96330586.047
51.7716,202.7526,4.9462,862.6491,Water,28.9753,131.992,TypeA,3.824,23.5865,8622225.8315
106.2828,416.6713,2.543,156.1547,Fan,14.3216,63.7009,TypeA,2.2766,23.1577,11294822.4129
242.0568,86.0517,3.5972,401.7511,Air,37.3807,53.253,TypeC,2.9242,17.2789,9578710.2582
292.1633,452.6675,1.1325,160.3149,Air,3.3797,133.6691,TypeA,1.9496,28.5228,24106358.2496
278.1864,296.4166,2.6852,977.8088,Water,20.244,57.2274,TypeB,7.1476,29.0419,6582642.1713
128.4943,417.784,0.6239,835.2765,Water,28.6449,147.2236,TypeA,6.9465,29.4179,26078538.0297
299.2627,253.5432,2.7745,867.2927,Air,9.7295,132.6792,TypeA,9.5555,29.5694,7966023.9401
133.0372,339.61,4.8381,944.1687,Fan,59.0946,95.0964,TypeA,7.5671,15.0011,28260440.182
163.8899,286.8812,2.2289,176.5931,Water,13.3367,147.9564,TypeC,1.4684,34.0784,48629311.0225
311.272,379.2153,0.6755,447.0378,Water,8.6908,50.7114,TypeA,8.9582,31.2842,2224718.7755
277.3715,86.7335,0.6393,163.9314,Passive,13.0086,73.3372,TypeA,8.7641,33.0796,1437539.62
347.2282,77.1584,2.2459,289.7138,Fan,46.3746,110.2047,TypeB,4.9899,15.3129,23627361.2534
280.1645,161.1965,1.2201,306.4292,Fan,26.1048,78.5008,TypeA,6.2728,33.6772,8424310.6955
248.908,121.7951,0.6051,522.1965,Air,34.3595,142.121,TypeA,9.7847,31.1958,11808594.587
82.7862,442.3026,3.903,341.706,Fan,2.2395,47.2189,TypeA,5.7907,31.7444,219136.17
178.7005,148.6463,2.5634,190.8803,Air,3.0314,100.4353,TypeA,9.1479,16.8657,735614.0786
142.8208,489.1394,1.8016,250.742,Passive,27.3037,104.9953,TypeB,1.7473,29.7756,82112586.3263
135.3964,201.6031,4.5504,232.548,Fan,49.1827,111.8001,TypeB,2.7195,34.1983,38308877.0426
390.5537,131.9531,1.0226,975.7691,Water,53.2291,68.1233,TypeC,4.9668,28.5709,21844677.9341
187.5842,405.3643,4.8016,783.3633,Passive,6.1157,80.1023,TypeA,6.2628,26.4112,3986774.6286
362.2163,346.4185,1.9129,970.9853,Air,32.7634,132.8049,TypeC,8.3461,33.9126,48712108.075
270.8985,274.1881,4.4978,495.7664,Passive,54.8806,61.4437,TypeC,9.8944,23.8587,15484569.8047
328.184,299.9136,3.2132,350.5316,Air,23.8904,130.9555,TypeA,4.4997,26.9859,54332513.7329
225.923,373.6408,4.2202,818.4639,Passive,49.9444,101.8921,TypeB,1.4267,24.5268,228620459.0712
251.9164,152.8046,4.9281,393.6285,Air,8.888,123.8406,TypeB,8.2105,33.6569,3757987.7454
222.3812,498.3503,1.7978,369.445,Fan,56.1883,118.4968,TypeA,6.4394,16.5217,98611467.6684
118.335,488.6569,4.8251,309.2554,Water,45.334,62.8263,TypeA,2.7869,25.0224,35559570.8501
302.8582,342.6466,2.2527,216.7111,Air,56.5387,102.5694,TypeB,5.4535,28.739,79431266.2699
148.2703,139.7941,2.2348,330.8168,Passive,40.9204,135.4495,TypeA,7.6808,30.8381,11551953.6202
58.5106,356.1027,2.0317,419.7878,Air,22.4408,87.5328,TypeA,7.9337,26.6604,3587507.3866
275.9153,82.4893,2.9363,706.5948,Air,56.3527,146.325,TypeA,5.4966,33.1784,26401919.6748
111.9887,63.7936,1.1937,156.3084,Air,17.2584,89.7437,TypeB,3.7469,33.8398,1839593.4248
379.1605,165.9573,2.9917,289.4562,Passive,20.5982,55.7064,TypeC,9.7637,16.2864,5233002.1319
383.875,258.1803,2.9377,828.1213,Water,42.3477,82.8378,TypeC,6.9703,23.0474,36001678.2941
370.2025,440.7226,3.9286,232.2297,Fan,46.1537,144.6873,TypeA,4.6741,15.4692,208178820.1257
179.5555,377.2261,4.2514,408.3806,Water,55.8348,75.1693,TypeB,3.5242,21.5883,57498389.2968
55.4098,384.2179,2.482,878.193,Air,13.0833,135.4908,TypeA,7.5799,25.7374,4033072.0741
374.9115,241.472,1.8605,239.4328,Passive,48.0819,136.9376,TypeB,3.1797,33.2159,141990942.3801
199.8645,205.6707,1.667,174.4632,Water,44.5742,78.5205,TypeA,2.5454,31.9311,33536885.0778
388.3292,216.9674,1.3758,536.0842,Air,4.7639,49.1583,TypeB,5.7685,17.55,2199355.3855
387.267,494.4423,0.7594,372.1776,Fan,23.8462,119.7014,TypeB,3.6099,16.8606,130081508.9897
348.5533,68.0491,2.041,607.0675,Fan,17.6832,74.2664,TypeC,6.6601,26.7853,2990146.4889
153.0571,440.1642,1.7161,823.4244,Fan,18.9649,126.1216,TypeA,2.0614,25.6424,62277712.3799
184.7842,310.4039,4.8489,223.4336,Air,58.9939,88.692,TypeC,6.8945,20.3276,33552612.5305
